,,,,,,,,,Total Counting Stats,,,,,,,,REC Yards ,,,,,Yards/Team Att (Rec and Rush),,,,,Total Dominator (Rush and Rec),,,,TDOa (Total Dominator over average),,,,PPR Pts,,,,PPR PPG,,,,Models,,,,"TDOa Diff from AVG Total Dominator REC and Rush Yards + Touchdown MS (>1 top 1 top 24 season, 2003-2016)",,,,,,Combine,,,,,,,,,,,,,,NFL Career Marks since 2000,,,,,
Name,my Player ID,School,Conference,DR,DP,NFL POS,Draft Year,Age IN DRAFT YEAR (9/1/dy),Years Played,rec,Touches,All Yards,YPTch,G,Years >= 20 Recs,REC/g,rec yards  First,rec yards  Best,rec yards  Last,rec yards  AVG,RUSH AVG,yards per team att  First,yards per team att  Best,yards per team att  Last,yards per team att  AVG,Rush College Dominator Rating,total dominator First,total dominator Last,total dominator Best,total dominator AVG,TDOa First,TDOa Last,TDOa Best,TDOa AVG,ppr pts First,Last,ppr pts Best,ppr pts AVG,ppr ppg First,ppr ppg Last,ppr ppg Best,ppr ppg AVG,Production Score (Pos Specific),Combine Score,Post Draft,PRE-DRAFT,18,19,20,21,22,23,BMI,SPORK (discount SPAQ-x),40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rush yards seasons,AVG PPG (PPR) Season 1-3
Lance Ball,Ball080RB,Maryland,ACC,UDFA,UDFA,RB,2008,23,4,47.0,596.0,2788.0,4.7,38.0,0,1.2,0.0,14.5,10.3,10.8,89.2,0.0,1.4,1.0,0.9,50.7,0.0,22.1,26.7,18.7,-15.9,15.2,15.2,3.9,0.10,175.60,175.60,120.45,0.10,13.51,14.51,9.85,-0.6,106.4,0.00,5.00,,-15.9,5.6,10.7,15.2,,32.37059629,NA,4.61,69.125,220,19,38.5,118,4.36,7.16,97.4201906,86.01466744,NA,NA,0,0,0,0,0,2.78
Lynell Hamilton,Hamilton080RB,San Diego State,MWC,UDFA,UDFA,RB,2008,23,4,57.0,536.0,2411.0,4.5,29.0,1,2.0,8.4,100.0,100.0,14.9,85.1,1.4,1.4,0.0,0.7,32.3,30.8,3.2,30.8,16.8,22.3,-3.7,22.3,3.9,161.70,16.40,176.30,100.03,16.17,5.47,16.17,11.70,3.0,NA,0.00,5.31,22.3,,6.6,-9.6,-3.7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4.18
James Johnson,Johnson080RB,Kansas State,Big 12,UDFA,UDFA,RB,2008,24,1,44.0,315.0,1818.0,5.8,8.0,1,5.5,17.7,17.7,16.6,16.9,83.1,0.6,1.5,1.5,1.1,60.2,13.2,31.7,31.7,22.4,-2.8,24.7,24.7,10.9,77.20,238.60,238.60,157.90,9.65,0.00,9.65,9.65,1.6,NA,0.00,6.10,,,,-2.8,24.7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.255
Dantrell Savage,Savage080RB,Oklahoma State,Big 12,UDFA,UDFA,RB,2008,23,2,35.0,384.0,2399.0,6.2,22.0,1,1.6,5.5,16.9,16.9,12.8,87.2,1.0,1.6,1.6,1.3,34.8,15.1,21.4,21.4,18.2,-0.9,14.4,14.4,6.7,142.80,251.55,251.55,197.18,12.98,22.87,22.87,17.93,1.0,117.9,0.00,5.10,,,,-0.9,14.4,,28.22504236,NA,4.52,68.25,187,13,32.5,117,4.37,NA,89.60203287,77.09538396,NA,NA,0,0,0,0,0,3.29
Kregg Lumpkin,Lumpkin080RB,Georgia,SEC,UDFA,UDFA,RB,2008,24,4,38.0,390.0,1934.0,5.0,40.0,0,1.0,15.1,22.8,22.8,12.1,87.9,0.6,1.2,0.1,0.6,19.4,16.4,0.6,22.2,12.0,0.5,0.4,15.2,2.2,117.60,7.70,150.40,83.35,10.69,1.93,11.57,7.25,0.3,125.3,0.00,3.74,,0.5,,-7.3,15.2,0.4,31.08097706,NA,4.65,71.5,226,22,30.75,110.5,4.43,7.16,96.67776977,91.33504734,NA,NA,0,0,0,0,0,3.55
Chad Simpson,Simpson080RB,South Florida,Big East,UDFA,UDFA,RB,2008,23,1,0.0,16.0,89.0,5.6,3.0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.1,0.1,0.1,0.1,1.8,0.9,0.9,0.9,0.9,-15.0,-15.0,-15.0,-,8.90,8.90,8.90,-,2.97,2.97,2.97,-,-1.9,143.4,0.00,0.00,,-15.0,,,,,32.24685342,NA,4.42,68.625,216,NA,34,122,4.53,7.4,113.1865101,98.49010263,NA,NA,0,0,0,0,0,3.87
Tim Castille,Castille080RB,Alabama,SEC,UDFA,UDFA,RB,2008,24,4,60.0,221.0,913.0,4.1,43.0,1,1.4,79.6,79.6,41.4,41.6,58.4,0.2,0.5,0.3,0.3,34.7,4.6,17.8,17.8,12.7,-11.3,10.9,10.9,-2.1,49.20,73.00,85.10,69.33,4.47,5.62,10.64,6.77,-2.8,NA,0.00,3.80,,-11.3,-8.9,0.9,10.9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.163333333
Mike Cox,Cox080RB,Georgia Tech,ACC,UDFA,UDFA,RB,2008,23,4,30.0,40.0,280.0,7.0,21.0,0,1.4,0.0,100.0,65.7,77.5,22.5,0.0,0.2,0.2,0.1,0.9,0.2,1.4,1.6,1.0,-15.7,-5.6,-5.6,-13.8,1.50,26.00,26.00,16.21,1.50,2.89,4.29,2.89,-6.5,NA,0.00,2.45,,-15.7,-19.5,-14.4,-5.6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.633333333
Jason Davis,Davis080RB,Illinois,Big Ten,UDFA,UDFA,RB,2008,24,4,70.0,161.0,1005.0,6.2,31.0,1,2.3,30.4,83.9,83.9,64.1,35.9,0.1,0.8,0.2,0.3,5.5,2.9,4.4,13.1,5.5,-5.5,-11.6,-5.5,-9.6,25.20,36.30,116.00,51.63,6.30,4.54,10.55,6.25,-4.7,NA,0.00,3.87,-5.5,-14.2,-7.2,-11.6,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.1
Clifton Smith,Smith080RB,Fresno State,WAC,UDFA,UDFA,RB,2008,23,3,34.0,136.0,998.0,7.3,14.0,1,2.4,94.1,94.1,36.0,36.9,63.1,0.0,1.1,1.1,0.4,18.7,0.1,12.6,12.6,4.3,-20.1,5.6,5.6,-10.2,2.70,160.70,160.70,54.60,2.70,13.39,13.39,5.50,-4.1,NA,0.00,4.59,,,-20.1,-16.0,5.6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.43
Darius Reynaud,Reynaud080RB,West Virginia,Big East,UDFA,UDFA,RB,2008,23,3,133.0,167.0,1960.0,11.7,38.0,3,3.5,77.5,87.7,87.7,79.1,20.9,0.5,0.9,0.9,0.8,3.3,17.1,28.8,28.8,19.0,-3.2,21.8,21.8,4.6,104.30,225.60,225.60,151.67,8.69,17.35,17.35,11.89,0.3,NA,0.00,7.48,,,-3.2,-5.0,21.8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Adrian Peterson,Peterson077RB,Oklahoma,Big 12,1,7,RB,2007,22,3,24.0,771.0,4243.0,5.5,31.0,0,0.8,0.6,11.8,11.8,4.7,95.3,2.0,2.0,1.3,1.6,56.7,34.7,24.5,34.7,28.5,18.8,8.5,18.8,11.1,288.70,202.80,288.70,233.43,22.21,28.97,28.97,23.39,4.8,141.5,12.44,11.14,,18.8,6.0,8.5,,,28.24121408,123.5,4.41,73.5,217,NA,38.5,127,4.4,7.09,114.7454231,114.5510962,10,32.25,5,7,9,10,10,11.61
Marshawn Lynch,Lynch0712RB,California,Pac-10,1,12,RB,2007,21,3,68.0,558.0,3830.0,6.9,35.0,1,1.9,19.0,19.5,19.5,15.7,84.3,0.9,2.0,2.0,1.6,58.1,14.9,35.6,35.6,24.0,6.4,15.3,15.3,9.1,162.20,292.40,292.40,223.92,13.52,22.49,22.49,19.24,4.4,131.4,12.21,10.97,6.4,5.7,15.3,,,,29.88079916,110.1,4.52,71.125,215,20,35.5,125,4.58,7.09,103.01838,96.29789412,NA,NA,3,5,6,8,6,13.11333333
Garrett Wolfe,Wolfe0793RB,Northern Illinois,MAC,3,93,RB,2007,23,3,58.0,865.0,5752.0,6.6,33.0,2,1.8,6.6,12.3,11.4,10.2,89.8,2.1,2.6,2.6,2.3,89.9,35.1,48.9,48.9,39.1,19.2,32.9,32.9,21.7,313.30,359.70,359.70,325.07,28.48,27.67,33.58,29.91,7.5,115.5,11.88,13.72,,19.2,12.9,32.9,,,28.70144128,NA,4.44,67.5,186,22,35.5,116,4.08,6.69,95.72184468,80.55797942,9.125,29.5,0,0,0,0,0,2.536666667
Brian Leonard,Leonard0752RB,Rutgers,Big East,2,52,RB,2007,23,4,207.0,885.0,4643.0,5.2,47.0,4,4.4,35.7,43.4,41.0,40.2,59.8,1.5,1.6,0.9,1.4,47.6,37.0,12.4,45.0,33.4,21.1,5.4,24.8,18.6,273.80,139.70,287.80,235.33,22.82,10.75,24.00,20.39,8.7,128.4,10.35,9.68,,21.1,24.8,23.1,5.4,,29.41250868,NA,4.56,73.5,226,28,34.5,122,4.22,6.88,104.539174,104.3691822,NA,NA,0,0,0,0,0,3.61
Tony Hunt,Hunt0790RB,Penn State,Big Ten,3,90,RB,2007,21,3,86.0,706.0,4009.0,5.7,36.0,3,2.4,30.1,30.1,15.7,19.9,80.1,1.6,1.9,1.9,1.7,69.4,30.3,43.4,43.4,30.3,21.8,23.2,23.2,15.5,192.10,275.50,275.50,216.30,17.46,21.19,21.19,17.92,7.0,141.5,9.14,9.31,21.8,1.4,23.2,,,,30.22063689,NA,4.73,73.625,233,24,31.5,110,4.77,7.44,93.0982149,93.26805558,NA,NA,0,0,0,0,0,2.9
Chris Henry,Henry0750RB,Arizona,Pac-10,2,50,RB,2007,22,4,25.0,290.0,1111.0,3.8,29.0,1,0.9,29.8,29.8,25.3,18.5,81.5,0.1,1.1,1.1,0.4,59.9,0.7,35.2,35.2,11.7,-7.8,19.2,19.2,-3.5,5.70,146.80,146.80,49.03,2.85,13.35,13.35,5.37,-4.0,161.8,8.44,6.61,-7.8,-7.4,-18.0,19.2,,,31.85344479,NA,4.41,71.25,230,26,36,127,4.16,6.96,121.6195729,114.0990693,NA,NA,-,-,-,-,-,-
Antonio Pittman,Pittman07107RB,Ohio State,Big Ten,4,107,RB,2007,21,3,37.0,594.0,3259.0,5.5,35.0,0,1.1,6.4,10.8,9.3,9.6,90.4,0.5,1.9,1.7,1.4,55.8,8.0,28.9,28.9,20.0,-0.5,8.6,8.6,5.1,52.70,234.00,234.00,164.97,5.27,18.00,18.00,13.54,2.7,140.7,8.34,8.75,-0.5,7.2,8.6,,,,29.07473495,NA,4.44,70.75,207,16,35.5,123,4.16,6.84,106.5291497,98.52465706,NA,NA,0,0,0,0,0,4.745
Michael Bush,Bush07100RB,Louisville,Big East,4,100,RB,2007,23,4,50.0,485.0,3159.0,6.5,36.0,1,1.4,32.3,32.3,2.3,20.6,79.4,0.8,1.7,0.2,0.9,30.0,11.5,3.5,29.4,13.8,-4.4,-3.5,13.4,-0.9,144.65,32.10,304.60,157.41,11.13,32.10,32.10,21.51,-1.7,56.5,7.65,7.39,,-4.4,-9.3,13.4,-3.5,,31.73279692,NA,NA,73.375,243,NA,NA,NA,NA,NA,NA,NA,9,30.75,0,1,1,1,1,6.835
Brandon Jackson,Jackson0763RB,Nebraska,Big 12,2,63,RB,2007,21,3,34.0,324.0,1751.0,5.4,29.0,1,1.2,0.0,24.0,24.0,18.2,81.8,0.5,1.4,1.4,0.7,36.2,13.3,21.5,21.5,12.0,4.8,1.2,4.8,-2.9,75.00,223.20,223.20,101.70,7.50,15.94,15.94,8.27,-1.7,127.9,7.54,5.72,4.8,-14.7,1.2,,,,30.23945504,NA,4.505,69.875,210,21,37,122,4.14,7,101.9694576,91.9896343,8.125,29.625,0,0,1,1,0,6.1
Lorenzo Booker,Booker0771RB,Florida State,ACC,3,71,RB,2007,23,4,114.0,611.0,3384.0,5.5,48.0,3,2.4,20.5,40.5,40.5,29.4,70.6,0.5,1.3,1.3,1.0,36.0,9.1,21.4,21.4,17.3,-6.8,14.5,14.5,2.5,79.00,160.60,162.10,138.60,7.90,12.35,12.73,11.36,-0.7,132.1,7.21,5.54,,-6.8,-2.1,4.5,14.5,,27.11407911,NA,4.5,70.375,191,26,35.5,121,4.42,7.09,93.15653102,85.23183579,9,30.625,0,0,0,0,0,6.755
Dwayne Wright,Wright07111RB,Fresno State,WAC,4,111,RB,2007,24,3,51.0,553.0,3114.0,5.6,28.0,1,1.8,12.1,26.0,13.1,13.8,86.2,1.2,2.3,2.3,1.3,70.4,18.7,39.6,39.6,20.9,-1.6,39.4,39.4,8.8,161.10,269.30,269.30,158.80,11.51,22.44,23.00,18.98,1.4,132.1,6.84,6.57,,,-1.6,-11.5,,39.4,31.35602996,NA,4.73,71.5,228,14,34,115,4.43,7.23,91.10039913,86.06716412,10,31.375,0,0,0,0,0,1.41
Kolby Smith,Smith07148RB,Louisville,Big East,5,148,RB,2007,22,4,56.0,372.0,2444.0,6.6,39.0,1,1.4,28.0,28.0,20.1,23.8,76.2,0.2,1.2,1.2,0.7,27.9,2.2,15.4,15.4,9.1,-6.3,-0.6,-0.6,-6.1,27.20,173.90,173.90,105.10,3.40,13.38,13.38,10.22,-3.6,127.0,5.63,6.15,-6.3,-9.1,-8.4,-0.6,,,30.46851241,NA,4.575,71.25,220,18,38,114,4.405,7.22,100.4357398,94.21809474,NA,NA,0,0,0,0,0,5.656666667
Ahmad Bradshaw,Bradshaw07250RB,Marshall,CUSA,7,250,RB,2007,21,3,87.0,645.0,3679.0,5.7,33.0,1,2.6,28.8,28.8,7.8,18.9,81.1,0.8,2.4,2.4,1.7,78.3,19.6,43.7,43.7,34.8,11.1,23.4,25.1,19.9,108.90,308.20,308.20,223.63,10.89,25.68,25.68,19.88,9.8,137.9,5.05,9.35,11.1,25.1,23.4,,,,28.81999416,121.3,4.66,69.5,198,NA,34,112,4.09,6.7,83.97529133,74.93645473,9.125,30,0,1,4,5,2,7.023333333
Le'Ron McClain,McClain07137RB,Alabama,SEC,4,137,RB,2007,22,4,48.0,85.0,575.0,6.8,36.0,1,1.3,97.2,97.2,73.2,70.4,29.6,0.0,0.3,0.3,0.2,4.4,0.4,6.7,10.7,5.7,-8.1,-9.3,-5.2,-9.4,5.60,61.90,61.90,41.38,5.60,4.76,5.60,4.83,-4.6,112.7,3.74,2.75,-8.1,-5.2,-15.2,-9.3,,,34.59924486,NA,4.86,72.125,256,14.5,29.5,114,4.47,7.135,91.77510371,88.24417705,NA,NA,0,0,0,1,1,5.763333333
Deshawn Wynn,Wynn07228RB,Florida,SEC,7,228,RB,2007,23,4,35.0,480.0,2455.0,5.1,43.0,0,0.8,13.2,25.7,7.6,15.3,84.7,0.7,0.9,0.9,0.7,31.6,17.6,14.4,21.7,15.9,1.7,7.4,7.4,1.1,122.20,117.90,144.20,112.13,9.40,9.83,13.11,10.38,-0.8,118.3,3.55,6.11,,1.7,-10.5,5.7,7.4,,32.93437881,NA,4.55,70.375,232,18,31.5,115,4.42,7.31,108.2610896,99.08671792,9.625,31,0,0,0,0,0,4.163333333
Reagan Mauia,Mauia07181RB,Hawaii,WAC,6,181,RB,2007,23,2,10.0,53.0,321.0,6.1,12.0,0,0.8,0.0,41.6,41.6,34.0,66.0,0.1,0.3,0.3,0.2,9.1,3.6,5.4,5.4,4.5,-12.4,-1.6,-1.6,-7.0,11.90,54.20,54.20,33.05,5.95,5.42,5.95,5.69,-1.2,NA,2.98,3.33,,,,-12.4,-1.6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Oren O'Neal,O'Neal07175RB,Arkansas State,Sun Belt,6,175,RB,2007,23,4,17.0,74.0,403.0,5.4,31.0,0,0.5,48.1,58.0,21.3,30.3,69.7,0.1,0.2,0.1,0.1,5.3,3.6,0.9,5.9,3.9,-12.3,-6.0,-6.0,-10.9,24.10,10.50,34.60,24.83,2.68,2.10,4.33,3.11,-5.0,102.3,2.98,3.09,,-12.3,-14.3,-10.8,-6.0,,33.9876172,NA,4.72,71.625,248,31,33,115,NA,NA,99.93409456,94.75614036,NA,NA,0,0,0,0,0,0.55
Jason Snelling,Snelling07244RB,Virginia,ACC,7,244,RB,2007,23,4,84.0,360.0,2099.0,5.8,37.0,2,2.3,89.2,89.2,26.8,36.9,63.1,0.4,1.5,1.5,0.7,60.4,6.1,33.9,33.9,12.8,-2.4,26.9,26.9,-0.1,90.20,176.40,176.40,94.48,9.02,16.04,16.04,9.61,-2.4,138.2,2.25,4.72,-2.4,,-17.5,-7.5,26.9,,31.96550607,NA,4.8,71.125,230,15,30,111,4.38,7.06,86.65485147,81.01120116,10,31.5,0,0,0,1,0,4.93
Deon Anderson,Anderson07195RB,Connecticut,Big East,6,195,RB,2007,24,4,48.0,162.0,814.0,5.0,44.0,0,1.1,9.2,57.3,56.4,48.4,51.6,0.2,0.3,0.2,0.2,3.8,3.0,5.9,5.9,3.6,-12.9,5.7,5.7,-9.5,24.10,43.90,48.20,38.35,2.01,4.39,4.39,3.53,-5.2,99.6,1.87,2.16,,-12.9,-17.0,-13.7,,5.7,34.1312106,NA,4.73,70.75,243,23,33,114,4.43,7.27,97.09384644,89.82289475,NA,NA,-,-,-,-,-,-
Kenneth Darby,Darby07246RB,Alabama,SEC,7,246,RB,2007,24,4,70.0,772.0,3664.0,4.7,46.0,2,1.5,2.1,13.5,13.5,9.3,90.7,0.2,1.7,1.1,1.1,40.4,2.3,15.6,25.4,17.0,-18.0,15.3,18.4,6.1,21.90,125.50,184.40,128.60,2.43,9.65,15.37,10.67,-1.0,146.4,0.71,2.39,,,-18.0,8.6,18.4,15.3,29.9532497,NA,4.735,70.375,211,19,30,108,4.48,7.145,83.95228431,76.82524145,NA,NA,0,0,0,0,0,5.51
Ryan Grant,Grant070RB,Notre Dame,Ind,UDFA,UDFA,RB,2007,24,4,26.0,586.0,2364.0,4.0,38.0,0,0.7,6.0,11.1,9.0,6.1,93.9,0.2,1.3,0.7,0.7,45.5,3.0,16.2,30.0,15.6,-5.5,0.2,14.1,0.5,19.70,92.60,173.70,92.60,4.93,10.29,13.36,8.90,0.6,132.8,0.00,4.99,-5.5,14.1,-7.0,0.2,,,28.26864611,96.1,4.54,73.125,215,17,33.5,115,4.14,7.1,101.2150384,100.0127422,9.625,31,0,1,2,3,3,8.111666667
Pierre Thomas,Thomas070RB,Illinois,Big Ten,UDFA,UDFA,RB,2007,22,4,57.0,510.0,2956.0,5.8,38.0,1,1.5,4.9,25.3,9.5,13.9,86.1,0.3,1.3,1.1,1.0,43.7,14.4,19.9,29.6,23.0,6.0,3.9,13.7,7.9,39.50,131.40,166.80,122.65,7.90,10.95,16.68,12.36,4.4,144.7,0.00,6.77,6.0,13.7,7.8,3.9,,,29.45965603,110,4.7,70.625,209,21,35.5,119,4.36,7.17,85.66133729,78.94627207,NA,NA,0,0,4,6,0,10.49333333
Darius Walker,Walker070RB,Notre Dame,Ind,UDFA,UDFA,RB,2007,21,3,109.0,802.0,4065.0,5.1,36.0,2,3.0,8.6,23.6,23.6,20.1,79.9,1.1,1.9,1.9,1.5,63.6,23.8,35.3,35.3,30.1,15.3,15.1,15.3,15.2,138.00,269.80,269.80,223.83,12.55,20.75,21.98,18.42,7.2,128.5,0.00,7.67,15.3,15.2,15.1,,,,29.55761906,NA,4.61,70,206,19,40.5,123,4.39,7.18,91.22072393,82.58489898,9.25,31.375,0,0,0,0,0,13.63
Selvin Young,Young070RB,Texas,Big 12,UDFA,UDFA,RB,2007,23,5,37.0,402.0,1927.0,4.8,46.0,1,0.8,0.0,23.9,18.3,11.1,88.9,0.5,0.9,0.9,0.4,28.5,11.1,16.2,16.2,8.0,2.6,9.2,9.2,-5.5,70.80,143.30,143.30,77.14,5.90,11.94,28.40,11.93,-4.5,138.4,0.00,2.42,2.6,-12.6,-17.9,-9.0,9.2,,28.87034378,NA,4.63,71,207,NA,NA,NA,NA,NA,90.08995646,83.91111325,NA,NA,0,0,0,1,0,7
Kenton Keith,Keith070RB,#N/A,#N/A,UDFA,UDFA,RB,2007,27,2,14.0,307.0,1822.0,5.9,22.0,0,0.6,1.8,12.3,12.3,7.4,92.6,1.1,1.2,1.2,1.1,37.1,13.6,23.7,23.7,18.7,-6.6,7.7,7.7,0.5,120.80,175.70,175.70,148.25,10.98,15.97,15.97,13.48,-0.6,NA,0.00,6.82,,,-6.6,7.7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,6.45
Andre Hall,Hall070RB,South Florida,Big East,UDFA,UDFA,RB,2007,25,2,44.0,524.0,3201.0,6.1,23.0,1,1.9,9.9,18.9,18.9,14.7,85.3,2.0,2.0,2.0,2.0,58.5,33.5,38.8,38.8,36.2,17.5,31.8,31.8,24.7,245.40,285.50,285.50,265.45,22.31,23.79,23.79,23.05,3.9,NA,0.00,7.52,,,,17.5,31.8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,6.61
Jackie Battle,Battle070RB,Houston,CUSA,UDFA,UDFA,RB,2007,23,4,6.0,447.0,2165.0,4.8,41.0,0,0.1,4.6,4.6,1.4,2.1,97.9,0.6,1.0,1.0,0.6,45.1,12.6,22.7,22.7,13.2,-3.3,15.7,15.7,-1.6,115.70,187.60,187.60,102.13,10.52,14.43,14.43,9.39,-2.3,133.8,0.00,6.78,,-3.3,-13.6,-5.3,15.7,,30.27409586,132.6,4.47,73.875,235,19,41,131,4.16,6.59,117.7247469,118.7440435,9,30.5,0,0,0,0,0,2.683333333
Gilbert Harris,Harris070RB,Arizona,Pac-10,UDFA,UDFA,RB,2007,23,4,48.0,215.0,983.0,4.6,30.0,1,1.6,59.1,91.5,27.4,35.6,64.4,0.2,0.5,0.5,0.3,33.1,3.2,20.0,20.0,9.7,-5.3,4.0,4.0,-5.5,18.70,103.10,103.10,51.58,3.74,9.37,9.37,6.30,-3.7,NA,0.00,3.93,-5.3,-12.3,-8.3,4.0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.93
Gary Russell,Russell070RB,Minnesota,Big Ten,UDFA,UDFA,RB,2007,20,1,16.0,202.0,1298.0,6.4,12.0,0,1.3,12.9,12.9,12.9,12.9,87.1,1.4,1.4,1.4,1.4,43.7,24.7,24.7,24.7,24.7,16.2,16.2,16.2,-,259.80,259.80,259.80,-,21.65,21.65,21.65,-,1.3,138.4,0.00,0.00,16.2,,,,,,32.50850323,NA,4.84,70.375,229,9,31.5,113,4.54,NA,83.46108599,76.38668316,NA,NA,0,0,0,0,0,2.24
Kyle Eckel,Eckel070RB,Navy,Ind,UDFA,UDFA,RB,2007,25,4,14.0,630.0,3077.0,4.9,36.0,0,0.4,0.0,11.0,4.3,5.8,94.2,0.0,1.5,1.5,1.2,31.7,-0.1,17.0,17.0,13.1,-16.0,10.0,10.0,-5.0,-0.60,189.90,194.10,117.93,-0.60,15.83,15.83,9.75,-4.2,NA,0.00,4.41,,-16.0,-12.1,-1.7,10.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.29
DJ Ware,Ware070RB,Georgia,SEC,UDFA,UDFA,RB,2007,22,3,28.0,347.0,1870.0,5.4,34.0,0,0.8,7.4,36.1,36.1,19.1,80.9,0.9,0.9,0.7,0.8,23.7,15.7,10.3,15.7,12.1,-0.2,-5.7,-0.2,-5.3,105.70,83.00,105.70,91.67,10.57,6.92,10.57,8.23,-2.1,130.8,0.00,5.18,,-0.2,-10.0,-5.7,,,30.51517273,NA,4.66,72,225,25,35,121,NA,7.01,95.42646742,91.41857168,NA,NA,0,0,0,0,0,1.9
Naufahu Tahi,Tahi070RB,Brigham Young,MWC,UDFA,UDFA,RB,2007,25,3,71.0,295.0,1571.0,5.3,32.0,1,2.2,65.2,65.2,43.0,41.9,58.1,0.3,0.9,0.9,0.6,30.8,10.4,17.3,20.4,16.0,-5.6,17.1,17.1,8.3,54.10,176.20,176.20,110.03,5.41,16.02,16.02,10.17,1.3,NA,0.00,3.71,,,,-5.6,13.4,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.47
Chris Barclay,Barclay070RB,Wake Forest,ACC,UDFA,UDFA,RB,2007,23,4,62.0,902.0,4413.0,4.9,46.0,2,1.3,6.8,12.4,12.4,8.6,91.4,0.8,1.6,1.6,1.3,50.6,12.9,27.6,27.6,22.1,4.4,11.6,11.6,6.9,133.40,214.60,214.60,185.83,10.26,21.46,21.46,16.52,3.0,NA,0.00,6.76,4.4,6.6,5.2,11.6,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.2
Byron Storer,Storer070RB,California,Pac-10,UDFA,UDFA,RB,2007,23,4,11.0,27.0,188.0,7.0,19.0,0,0.6,46.7,93.1,79.2,79.3,20.7,0.0,0.1,0.1,0.1,0.4,0.1,0.7,1.7,0.6,-15.8,-6.3,-6.3,-14.2,2.50,15.70,16.70,8.95,0.83,1.43,5.57,2.07,-6.5,NA,0.00,2.38,,-15.8,-18.6,-15.9,-6.3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.77
DeAngelo Williams,Williams0627RB,Memphis,CUSA,1,27,RB,2006,23,4,70.0,1039.0,6749.0,6.5,44.0,1,1.6,6.9,21.2,3.8,10.7,89.3,0.9,2.5,2.5,1.9,72.3,20.7,35.2,43.8,33.0,4.7,28.3,28.3,18.2,108.50,330.20,371.80,276.23,10.85,30.02,30.98,24.65,5.1,121.9,13.37,13.40,,4.7,12.2,27.8,28.3,,31.60195128,132.6,4.5,69,214,25,34.5,125,4.15,6.62,104.3743332,91.81677629,9,32.5,2,3,3,6,4,12.19333333
Reggie Bush,Bush062RB,USC,Pac-10,1,2,RB,2006,21,3,95.0,528.0,4470.0,8.5,39.0,2,2.4,37.6,37.6,21.6,29.1,70.9,0.9,2.2,2.2,1.6,41.5,14.8,25.2,25.2,21.3,6.3,4.9,8.1,6.5,140.50,366.80,366.80,258.87,10.81,28.22,28.22,19.91,3.1,141.3,13.36,12.38,6.3,8.1,4.9,,,,28.13249309,NA,4.42,70.875,201,24,40.5,128,NA,NA,105.3263358,97.75167428,8.875,30.375,0,5,6,7,3,17.34333333
Maurice Jones-Drew,Jones-Drew0660RB,UCLA,Pac-10,2,60,RB,2006,21,3,64.0,545.0,3322.0,6.1,36.0,1,1.8,15.2,33.1,33.1,24.7,75.3,0.8,1.7,1.7,1.3,54.5,24.2,33.6,33.6,28.7,15.7,13.3,15.7,13.8,113.60,269.70,269.70,198.85,8.74,22.48,22.48,16.87,6.5,134.2,10.87,10.81,15.7,12.4,13.3,,,,32.66375525,114.2,4.39,66.75,207,18,36,116,4.38,7.08,111.4659599,91.75300395,9,32.375,3,6,7,7,4,16.54333333
